term,normalized_term,semantic_hint,category,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion,source_tier,license_status,retrieval_date,census_attested,legal_overlap,higher_ed_overlap,finance_accounting_tax_overlap,known_overlap_families
secret ballot election,secret ballot election,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Senior Executive Service,senior executive service,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
separation,separation,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
series,series,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
serious health condition,serious health condition,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
service computation date,service computation date,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
sexual harassment,sexual harassment,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
SF-50,sf-50,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,SF-50,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
showing of interest,showing of interest,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
sick leave,sick leave,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
SMM,smm,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,SMM,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
SPD,spd,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,SPD,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
special rate,special rate,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Standard Form 50,standard form 50,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
summary annual report,summary annual report,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
summary of material modification,summary of material modification,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
summary plan description,summary plan description,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
suspension,suspension,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
suspension,suspension,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
temporary appointment,temporary appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
term appointment,term appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
termination,termination,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
terms and conditions of employment,terms and conditions of employment,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
terms and conditions of employment,terms and conditions of employment,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
transfer,transfer,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,True,False,False,legal
undue hardship,undue hardship,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,False,legal
unfair labor practice,unfair labor practice,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
unfair labor practice,unfair labor practice,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
unfair labor practice charge,unfair labor practice charge,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
unfair labor practice striker,unfair labor practice striker,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
unilateral change,unilateral change,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
union dues,union dues,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
union organizing campaign,union organizing campaign,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
union-security agreement,union-security agreement,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
unpaid leave,unpaid leave,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
vested benefits,vested benefits,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
vesting,vesting,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
veterans' preference,veterans' preference,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
whistleblower,whistleblower,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
white collar position,white collar position,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
within-grade increase,within-grade increase,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
work environment,work environment,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
work restriction,work restriction,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
work-related illness,work-related illness,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
work-related injury,work-related injury,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
work-related injury or illness,work-related injury or illness,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
workweek,workweek,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
